file	register	m_pitch	min_pit	max_pit	sd_pit	range_pit	convo	comfort	sing	inform	read	imperative	question	vocalplay	noisy	age	adu_gender	coder	ID	chi_gender									
B-12_13_pass1_207_17	IDS	255.18581	198.409128	308.452079	26.2590495	110.042951	1	0	0	0	0	1	0	0	0	13	female	emily	B-12	male									
B-12_13_pass1_207_19	IDS	228.956453	166.576313	371.101547	31.0063238	204.525235	1	0	0	1	0	1	0	0	0	13	female	emily	B-12	male									
B-12_13_pass1_207_21	IDS	226.097368	141.57991	299.835585	30.8266998	158.255675	1	0	0	0	0	1	0	0	0	13	female	emily	B-12	male									
B-12_13_pass1_207_23	IDS	200.980716	165.340283	263.091017	22.3941672	97.7507347	0	0	0	0	0	1	0	0	0	13	female	emily	B-12	male									
B-12_13_pass1_207_3	IDS	284.234205	223.718856	381.763686	38.1191423	158.04483	0	0	0	0	0	1	0	0	0	13	female	emily	B-12	male									
B-12_13_pass1_207_5	IDS	262.142285	160.372676	325.016684	25.4624337	164.644008	1	0	0	0	0	1	0	0	0	13	female	emily	B-12	male									
B-12_13_pass1_207_7	IDS	234.322726	201.566711	302.191135	24.2188546	100.624423	1	0	0	0	0	1	0	0	0	13	female	emily	B-12	male									
W-204_pass1_231_1	ADS	225.308239	128.570843	326.229121	39.801849	197.658279	0	0	0	0	0	0	0	0	0	3	female	emily	W-204	male									
W-204_pass1_231_11	ADS	233.508183	120.818806	445.515447	57.7936918	324.696641	0	0	0	0	0	1	0	0	1	3	female	emily	W-204	male									
W-204_pass1_231_12	ADS	236.129959	148.467803	367.061645	54.6712557	218.593841	0	0	0	0	0	1	0	0	0	3	female	emily	W-204	male									
W-204_pass1_231_13	ADS	246.674276	100.621742	459.085721	78.6923901	358.46398	1	0	0	0	0	0	1	0	1	3	female	emily	W-204	male									
W-204_pass1_231_16	ADS	224.422899	153.745162	358.124579	47.5711172	204.379416	0	0	0	1	0	1	0	0	0	3	female	emily	W-204	male									
W-204_pass1_231_22	IDS	274.516266	179.92264	396.378962	48.863067	216.456322	0	0	0	0	0	1	0	0	0	3	female	emily	W-204	male									
W-204_pass1_231_3	ADS	223.224123	118.019059	313.49928	40.2555581	195.48022	0	0	0	1	0	0	0	0	0	3	female	emily	W-204	male									
W-204_pass1_231_30	IDS	307.97261	99.9945749	424.033222	74.6786481	324.038647	0	0	0	1	0	0	1	0	0	3	female	emily	W-204	male									
W-204_pass1_231_32	IDS	227.008506	137.456168	366.219502	62.2979973	228.763333	0	0	0	0	0	1	0	0	0	3	female	emily	W-204	male									
W-204_pass1_231_35	ADS	251.853169	141.834138	317.489782	41.5240759	175.655644	0	0	0	1	0	0	0	0	0	3	female	emily	W-204	male									
W-204_pass1_231_36	ADS	218.917085	99.4814886	300.573146	71.1323704	201.091658	0	0	0	1	0	0	0	0	0	3	female	emily	W-204	male									
W-204_pass1_231_37	ADS	219.304864	98.5085156	400.31682	49.2721709	301.808305	0	0	0	1	0	0	0	0	0	3	female	emily	W-204	male									
W-204_pass1_231_40	ADS	188.899401	142.39784	321.76432	24.9671689	179.36648	1	0	0	0	0	0	1	0	0	3	female	emily	W-204	male									
W-204_pass1_231_42	ADS	278.60186	148.508927	360.533129	55.2827768	212.024202	0	0	0	0	0	1	0	0	0	3	female	emily	W-204	male									
W-204_pass1_231_50	ADS	216.774384	140.752706	284.326966	28.3108393	143.57426	0	0	0	1	0	0	0	0	0	3	female	emily	W-204	male									
W-204_pass1_231_52	IDS	256.209695	134.723239	493.541765	98.5355607	358.818526	0	0	0	0	0	1	0	0	0	3	female	emily	W-204	male									
W-204_pass1_231_55	IDS	182.627178	120.222681	282.124806	30.5389751	161.902125	1	0	0	0	0	0	1	0	0	3	female	emily	W-204	male									
W-204_pass1_231_7	ADS	221.811937	133.914735	305.999253	38.1825072	172.084519	1	0	0	0	0	0	0	0	0	3	female	emily	W-204	male									
W-204_pass1_231_9	ADS	227.109477	107.539519	410.685389	42.4486041	303.14587	0	0	0	1	0	0	1	0	0	3	female	emily	W-204	male									
B-01_06_pass1_370_1	ADS	268.770986	170.100613	397.793538	56.6140411	227.692925	0	0	0	1	0	1	0	0	0	6	female	emily	B-01	female									
B-01_06_pass1_370_10	IDS	161.290709	99.1934343	248.449337	27.4849244	149.255902	0	0	1	0	0	0	0	0	0	6	male	emily	B-01	female									
B-01_06_pass1_370_12	ADS	165.14565	120.692909	234.1045	25.9609849	113.411591	0	0	0	1	0	0	0	0	0	6	male	emily	B-01	female									
B-01_06_pass1_370_14	IDS	188.592816	139.634005	237.553053	29.894706	97.9190485	0	0	1	0	0	0	0	0	0	6	male	emily	B-01	female									
B-01_06_pass1_370_15	IDS	167.220661	101.089556	281.936366	30.2208796	180.846809	0	0	1	0	0	0	0	0	0	6	male	emily	B-01	female									
B-01_06_pass1_370_17	ADS	221.950385	126.756053	457.415816	61.9934037	330.659762	1	0	0	1	0	0	0	0	0	6	male	emily	B-01	female									
B-01_06_pass1_370_2	ADS	211.858033	159.665451	364.616718	34.346759	204.951267	0	0	0	1	0	0	0	0	0	6	female	emily	B-01	female									
B-01_06_pass1_370_23	IDS	171.08417	103.464834	239.835037	27.8962032	136.370203	0	0	1	0	0	0	0	0	0	6	male	emily	B-01	female									
B-01_06_pass1_370_30	IDS	204.379609	100.275847	347.705843	51.8797689	247.429997	0	0	0	0	0	1	0	0	0	6	male	emily	B-01	female									
B-01_06_pass1_370_32	IDS	150.591533	103.344281	254.467264	30.6908178	151.122983	0	0	0	0	0	1	0	0	0	6	male	emily	B-01	female									
B-01_06_pass1_370_36	ADS	138.847847	117.30486	239.999722	19.628497	122.694862	0	0	0	0	0	1	0	0	0	6	male	emily	B-01	female									
B-01_06_pass1_370_38	IDS	147.959397	119.670923	180.235247	17.6789248	60.5643238	0	0	0	0	0	1	0	0	0	6	male	emily	B-01	female									
B-01_06_pass1_370_41	ADS	227.286043	156.310374	329.603217	41.1766866	173.292843	1	0	0	1	0	0	0	0	0	6	male	emily	B-01	female									
B-01_06_pass1_370_45	ADS	157.661548	118.502534	200.100377	25.595777	81.597843	1	0	0	0	0	0	0	0	0	6	male	emily	B-01	female									
B-01_06_pass1_370_47	ADS	223.142576	120.035002	343.890232	45.8089423	223.85523	0	0	0	1	0	0	1	0	0	6	male	emily	B-01	female									
B-01_06_pass1_370_49	IDS	197.755007	144.581742	230.021027	17.6175358	85.4392852	0	0	0	0	0	1	1	0	1	6	male	emily	B-01	female									
B-01_06_pass1_370_53	IDS	199.229339	139.236853	282.269462	35.9218018	143.032609	1	0	0	0	0	1	0	0	0	6	male	emily	B-01	female									
B-01_06_pass1_370_55	IDS	178.286059	117.58122	265.005623	40.6604296	147.424402	0	0	0	1	0	0	0	0	0	6	male	emily	B-01	female									
B-01_06_pass1_370_56	IDS	245.324564	122.275091	399.970828	98.0493592	277.695737	0	0	0	0	0	0	1	0	1	6	female	emily	B-01	female									
B-01_06_pass1_370_58	IDS	188.426598	139.469926	220.739122	23.073037	81.269196	0	0	0	1	0	0	0	0	0	6	male	emily	B-01	female									
B-01_06_pass1_370_61	IDS	159.968415	133.011843	210.581257	20.9438937	77.5694143	0	0	0	1	0	0	0	0	0	6	male	emily	B-01	female									
B-01_06_pass1_370_8	IDS	184.891842	138.222603	383.666281	42.018164	245.443678	0	0	1	0	0	0	0	0	0	6	male	emily	B-01	female									
M-102-000723_pass1_276_19	IDS	237.327324	168.36438	298.353184	28.1370035	129.988804	1	1	0	0	0	0	0	0	0	8	female	emily	M-102	female									
M-102-000723_pass1_276_21	IDS	204.902834	131.3189	342.068247	45.6890461	210.749346	0	0	0	1	0	0	0	0	0	8	female	emily	M-102	female									
M-102-000723_pass1_276_22	IDS	236.95935	197.675167	297.663476	17.5560297	99.988309	1	1	0	0	0	0	0	0	0	8	female	emily	M-102	female									
M-102-000723_pass1_276_23	IDS	218.699939	126.606542	299.240013	35.9938795	172.63347	1	1	0	0	0	0	0	0	0	8	female	emily	M-102	female									
